table,column,dtype,description
outputs/tables/fig8a_spec_curve_G.csv,hi95,float64,97.5th percentile across draws
outputs/tables/fig8b_spec_curve_neural.csv,tag,str,
outputs/tables/fig8b_spec_curve_neural.csv,form,str,
outputs/tables/fig8b_spec_curve_neural.csv,forgetting,str,
outputs/tables/fig8b_spec_curve_neural.csv,epw,int64,
outputs/tables/fig8b_spec_curve_neural.csv,effort,str,effort E (eq. 19)
outputs/tables/fig8b_spec_curve_neural.csv,wpm,int64,
outputs/tables/fig8b_spec_curve_neural.csv,metric,str,TRIBE metric (gate-19 definitions)
outputs/tables/fig8b_spec_curve_neural.csv,winsorize,bool,
outputs/tables/fig8b_spec_curve_neural.csv,network_weights,str,
outputs/tables/fig8b_spec_curve_neural.csv,mechanism,str,"plasticity mechanism A, B, C or D (eq. 29-33)"
outputs/tables/fig8b_spec_curve_neural.csv,scenario,str,Phase V scenario (config phase5.scenarios); in frontier / mediation runs the cell or `base|hold_X` name
outputs/tables/fig8b_spec_curve_neural.csv,network,str,Yeo-7 network of the Schaefer-400 parcels
outputs/tables/fig8b_spec_curve_neural.csv,tier,int64,specification-curve tier (highest rank among its levels)
outputs/tables/fig8b_spec_curve_neural.csv,mean,float64,"mean (over learners, or across draws in summary tables)"
outputs/tables/fig8b_spec_curve_neural.csv,median,float64,"median over learners, or across draws in summary tables"
outputs/tables/fig8b_spec_curve_neural.csv,n,int64,draws (or units) in the summary
outputs/tables/fig8b_spec_curve_neural.csv,lo90,float64,5th percentile across draws
outputs/tables/fig8b_spec_curve_neural.csv,hi90,float64,95th percentile across draws
outputs/tables/fig8b_spec_curve_neural.csv,lo95,float64,2.5th percentile across draws
outputs/tables/fig8b_spec_curve_neural.csv,hi95,float64,97.5th percentile across draws
outputs/tables/gate18_checks.csv,check,str,
outputs/tables/gate18_checks.csv,rule,str,
outputs/tables/gate18_checks.csv,value,str,"metric value (predicted response, a.u.)"
outputs/tables/gate18_checks.csv,pass,str,
outputs/tables/gate19_metric_definitions.csv,metric,str,TRIBE metric (gate-19 definitions)
outputs/tables/gate19_metric_definitions.csv,level,str,"`parcel`, `network` or `stimulus`"
outputs/tables/gate19_metric_definitions.csv,definition,str,
outputs/tables/gate19_metric_definitions.csv,units,str,
outputs/tables/gate19_metric_definitions.csv,direction,str,
outputs/tables/parcel_contrasts_auc.csv,level,str,"`parcel`, `network` or `stimulus`"
outputs/tables/parcel_contrasts_auc.csv,key,int64,parcel id or network name
outputs/tables/parcel_contrasts_auc.csv,metric,str,TRIBE metric (gate-19 definitions)
outputs/tables/parcel_contrasts_auc.csv,contrast,str,
outputs/tables/parcel_contrasts_auc.csv,estimate,float64,mean over learners (level) or mean paired difference (contrast)
outputs/tables/parcel_contrasts_auc.csv,se,float64,
outputs/tables/parcel_contrasts_auc.csv,ci_low,float64,
outputs/tables/parcel_contrasts_auc.csv,ci_high,float64,
outputs/tables/parcel_contrasts_auc.csv,n_units,int64,
outputs/tables/parcel_contrasts_auc.csv,p,float64,
outputs/tables/parcel_contrasts_auc.csv,q_fdr,float64,
outputs/tables/rsa_condition_agreement.csv,condition_a,str,
outputs/tables/rsa_condition_agreement.csv,condition_b,str,
outputs/tables/rsa_condition_agreement.csv,spearman,float64,
outputs/tables/rsa_condition_agreement.csv,p_perm,float64,
outputs/tables/rsa_condition_agreement.csv,n_perm,int64,
outputs/tables/rsa_differentiation.csv,condition,str,"assigned arm (traditional, ai_scaffolding, ai_substitution, free_choice)"
outputs/tables/rsa_differentiation.csv,differentiation,float64,
outputs/tables/rsa_differentiation.csv,within_consistency,float64,
outputs/tables/rsa_differentiation.csv,between_distance,float64,
outputs/tables/table1_conditions.csv,condition,str,"assigned arm (traditional, ai_scaffolding, ai_substitution, free_choice)"
outputs/tables/table1_conditions.csv,lesson,str,
outputs/tables/table1_conditions.csv,help after a wrong answer,str,
outputs/tables/table1_conditions.csv,answer provided,str,
outputs/tables/table1_conditions.csv,adaptation (eq. 20),float64,drawn value of the config leaf `adaptation (eq. 20)` (A1)
outputs/tables/table1_conditions.csv,help turns (persistent),int64,
outputs/tables/table1_conditions.csv,mean words,float64,
outputs/tables/table1_conditions.csv,mean duration s (220 wpm),float64,
outputs/tables/table1_conditions.csv,mean equations,float64,
outputs/tables/table1_conditions.csv,mean sentences,float64,
outputs/tables/table1_conditions.csv,held fixed across conditions,str,
outputs/tables/table1_conditions.csv,varies by design,str,
outputs/tables/table2_components.csv,component,str,
outputs/tables/table2_components.csv,inputs,str,
outputs/tables/table2_components.csv,outputs,str,
outputs/tables/table2_components.csv,key assumptions,str,
outputs/tables/table2_components.csv,validation,str,
outputs/tables/table3_parameters.csv,parameter,str,
outputs/tables/table3_parameters.csv,low,float64,
outputs/tables/table3_parameters.csv,medium,str,
outputs/tables/table3_parameters.csv,high,float64,
outputs/tables/table3_parameters.csv,phase V draw,str,
outputs/tables/table3_parameters.csv,source,str,
outputs/tables/table4_cortical_contrasts.csv,level,str,"`parcel`, `network` or `stimulus`"
outputs/tables/table4_cortical_contrasts.csv,key,str,parcel id or network name
outputs/tables/table4_cortical_contrasts.csv,metric,str,TRIBE metric (gate-19 definitions)
outputs/tables/table4_cortical_contrasts.csv,contrast,str,
outputs/tables/table4_cortical_contrasts.csv,estimate,float64,mean over learners (level) or mean paired difference (contrast)
outputs/tables/table4_cortical_contrasts.csv,se,float64,
outputs/tables/table4_cortical_contrasts.csv,ci_low,float64,
outputs/tables/table4_cortical_contrasts.csv,ci_high,float64,
outputs/tables/table4_cortical_contrasts.csv,n_units,int64,
outputs/tables/table4_cortical_contrasts.csv,p,float64,
outputs/tables/table4_cortical_contrasts.csv,q_fdr,float64,
outputs/tables/table4_cortical_contrasts.csv,ci_excludes_0,bool,
outputs/tables/table4_cortical_contrasts_matched_covariates.csv,level,str,"`parcel`, `network` or `stimulus`"
outputs/tables/table4_cortical_contrasts_matched_covariates.csv,key,str,parcel id or network name
outputs/tables/table4_cortical_contrasts_matched_covariates.csv,metric,str,TRIBE metric (gate-19 definitions)
outputs/tables/table4_cortical_contrasts_matched_covariates.csv,contrast,str,
outputs/tables/table4_cortical_contrasts_matched_covariates.csv,estimate,float64,mean over learners (level) or mean paired difference (contrast)
outputs/tables/table4_cortical_contrasts_matched_covariates.csv,se,float64,
outputs/tables/table4_cortical_contrasts_matched_covariates.csv,ci_low,float64,
outputs/tables/table4_cortical_contrasts_matched_covariates.csv,ci_high,float64,
outputs/tables/table4_cortical_contrasts_matched_covariates.csv,n_units,int64,
outputs/tables/table4_cortical_contrasts_matched_covariates.csv,p,float64,
outputs/tables/table4_cortical_contrasts_matched_covariates.csv,q_fdr,float64,
outputs/tables/table4_cortical_contrasts_matched_covariates.csv,ci_excludes_0,bool,
outputs/tables/table4_eq42_mixed_model.csv,term,str,
outputs/tables/table4_eq42_mixed_model.csv,estimate,float64,mean over learners (level) or mean paired difference (contrast)
outputs/tables/table4_eq42_mixed_model.csv,se,float64,
outputs/tables/table4_eq42_mixed_model.csv,ci_low,float64,
outputs/tables/table4_eq42_mixed_model.csv,ci_high,float64,
outputs/tables/table4_eq42_mixed_model.csv,level,str,"`parcel`, `network` or `stimulus`"
outputs/tables/table4_eq42_mixed_model.csv,metric,str,TRIBE metric (gate-19 definitions)
outputs/tables/table4_eq42_mixed_model.csv,n_obs,int64,
outputs/tables/table4_eq42_mixed_model.csv,n_units,int64,
outputs/tables/table4_eq42_mixed_model.csv,unit_intercept_var,float64,
outputs/tables/table4_reading_speed_robustness.csv,level,str,"`parcel`, `network` or `stimulus`"
outputs/tables/table4_reading_speed_robustness.csv,key,str,parcel id or network name
outputs/tables/table4_reading_speed_robustness.csv,metric,str,TRIBE metric (gate-19 definitions)
outputs/tables/table4_reading_speed_robustness.csv,contrast,str,
outputs/tables/table4_reading_speed_robustness.csv,estimate,float64,mean over learners (level) or mean paired difference (contrast)
outputs/tables/table4_reading_speed_robustness.csv,se,float64,
outputs/tables/table4_reading_speed_robustness.csv,ci_low,float64,
outputs/tables/table4_reading_speed_robustness.csv,ci_high,float64,
outputs/tables/table4_reading_speed_robustness.csv,n_units,int64,
outputs/tables/table4_reading_speed_robustness.csv,p,float64,
outputs/tables/table4_reading_speed_robustness.csv,q_fdr,float64,
outputs/tables/table4_reading_speed_robustness.csv,ci_excludes_0,bool,
outputs/tables/table4_reading_speed_robustness.csv,wpm,int64,
outputs/tables/table5_neural_d_v_main.csv,scenario,str,Phase V scenario (config phase5.scenarios); in frontier / mediation runs the cell or `base|hold_X` name
outputs/tables/table5_neural_d_v_main.csv,network,str,Yeo-7 network of the Schaefer-400 parcels
outputs/tables/table5_neural_d_v_main.csv,year,int64,school year (0 = before the first episode)
outputs/tables/table5_neural_d_v_main.csv,mechanism,str,"plasticity mechanism A, B, C or D (eq. 29-33)"
outputs/tables/table5_neural_d_v_main.csv,d_mean,float64,
outputs/tables/table5_neural_d_v_main.csv,d_median,float64,
outputs/tables/table5_neural_d_v_main.csv,d_n,int64,
outputs/tables/table5_neural_d_v_main.csv,d_lo90,float64,
outputs/tables/table5_neural_d_v_main.csv,d_hi90,float64,
outputs/tables/table5_neural_d_v_main.csv,d_lo95,float64,
outputs/tables/table5_neural_d_v_main.csv,d_hi95,float64,
outputs/tables/table5_neural_d_v_main.csv,prsup,float64,PrSup (eq. 38): share of learners with a positive paired difference
outputs/tables/table5_scenario_contrasts_v_main.csv,scenario,str,Phase V scenario (config phase5.scenarios); in frontier / mediation runs the cell or `base|hold_X` name
outputs/tables/table5_scenario_contrasts_v_main.csv,outcome,str,outcome name (see the outcome rows of this dictionary)
outputs/tables/table5_scenario_contrasts_v_main.csv,year,int64,school year (0 = before the first episode)
outputs/tables/table5_scenario_contrasts_v_main.csv,mean,float64,"mean (over learners, or across draws in summary tables)"
outputs/tables/table5_scenario_contrasts_v_main.csv,median,float64,"median over learners, or across draws in summary tables"
outputs/tables/table5_scenario_contrasts_v_main.csv,n,int64,draws (or units) in the summary
outputs/tables/table5_scenario_contrasts_v_main.csv,lo90,float64,5th percentile across draws
outputs/tables/table5_scenario_contrasts_v_main.csv,hi90,float64,95th percentile across draws
outputs/tables/table5_scenario_contrasts_v_main.csv,lo95,float64,2.5th percentile across draws
outputs/tables/table5_scenario_contrasts_v_main.csv,hi95,float64,97.5th percentile across draws
outputs/tables/table5_scenario_contrasts_v_main.csv,prsup,float64,PrSup (eq. 38): share of learners with a positive paired difference
outputs/tables/table5_scenario_contrasts_v_main.csv,share_draws_positive,float64,
outputs/tables/table6_falsification.csv,criterion,str,
outputs/tables/table6_falsification.csv,indicator,str,
outputs/tables/table6_falsification.csv,threshold,str,
outputs/tables/table6_falsification.csv,value,str,"metric value (predicted response, a.u.)"
outputs/tables/table6_falsification.csv,verdict,str,
outputs/tables/table6_negative_controls.csv,control,str,
outputs/tables/table6_negative_controls.csv,implementation,str,
outputs/tables/table6_negative_controls.csv,expected,str,
outputs/tables/table6_negative_controls.csv,value,str,"metric value (predicted response, a.u.)"
outputs/tables/table6_negative_controls.csv,as_expected,bool,
outputs/tables/tableS_exposure.csv,scenario,str,Phase V scenario (config phase5.scenarios); in frontier / mediation runs the cell or `base|hold_X` name
outputs/tables/tableS_exposure.csv,outcome,str,outcome name (see the outcome rows of this dictionary)
outputs/tables/tableS_exposure.csv,year,int64,school year (0 = before the first episode)
outputs/tables/tableS_exposure.csv,mean,float64,"mean (over learners, or across draws in summary tables)"
outputs/tables/tableS_exposure.csv,median,float64,"median over learners, or across draws in summary tables"
outputs/tables/tableS_exposure.csv,n,int64,draws (or units) in the summary
outputs/tables/tableS_exposure.csv,lo90,float64,5th percentile across draws
outputs/tables/tableS_exposure.csv,hi90,float64,95th percentile across draws
outputs/tables/tableS_exposure.csv,lo95,float64,2.5th percentile across draws
outputs/tables/tableS_exposure.csv,hi95,float64,97.5th percentile across draws
outputs/tables/tableS_exposure.csv,prsup,float64,PrSup (eq. 38): share of learners with a positive paired difference
outputs/tables/tableS_exposure.csv,share_draws_positive,float64,
outputs/tables/tableS_exposure.csv,episodes_per_week,int64,
outputs/tables/tableS_exposure.csv,run,str,
outputs/tables/tableS_incorrect_control.csv,key,str,parcel id or network name
outputs/tables/tableS_incorrect_control.csv,metric,str,TRIBE metric (gate-19 definitions)
outputs/tables/tableS_incorrect_control.csv,incorrect_minus_correct,float64,
outputs/tables/tableS_incorrect_control.csv,ci_low,float64,
outputs/tables/tableS_incorrect_control.csv,ci_high,float64,
outputs/tables/tableS_incorrect_control.csv,n_units,int64,
outputs/tables/tableS_incorrect_control.csv,max_abs_condition_contrast,float64,
outputs/tables/tableS_incorrect_control.csv,ratio_to_contrast,float64,
outputs/tables/tableS_mechanism_decomposition.csv,scenario,str,Phase V scenario (config phase5.scenarios); in frontier / mediation runs the cell or `base|hold_X` name
outputs/tables/tableS_mechanism_decomposition.csv,mediator,str,
outputs/tables/tableS_mechanism_decomposition.csv,outcome,str,outcome name (see the outcome rows of this dictionary)
outputs/tables/tableS_mechanism_decomposition.csv,year,int64,school year (0 = before the first episode)
outputs/tables/tableS_mechanism_decomposition.csv,sc_full_median,float64,
outputs/tables/tableS_mechanism_decomposition.csv,sc_held_median,float64,
outputs/tables/tableS_mechanism_decomposition.csv,contribution,float64,
outputs/tables/tableS_mechanism_decomposition.csv,per_draw_median,float64,
outputs/tables/tableS_mechanism_decomposition.csv,per_draw_lo90,float64,
outputs/tables/tableS_mechanism_decomposition.csv,per_draw_hi90,float64,
outputs/tables/tableS_mechanism_decomposition.csv,per_draw_lo95,float64,
outputs/tables/tableS_mechanism_decomposition.csv,per_draw_hi95,float64,
outputs/tables/tableS_mechanism_decomposition.csv,small_full_sc,bool,
outputs/tables/tableS_regeneration_change.csv,key,str,parcel id or network name
outputs/tables/tableS_regeneration_change.csv,abs_change,float64,
outputs/tables/tableS_regeneration_change.csv,max_abs_condition_contrast,float64,
outputs/tables/tableS_regeneration_change.csv,ratio_regeneration_to_contrast,float64,
outputs/tables/tableS_regeneration_change.csv,metric,str,TRIBE metric (gate-19 definitions)
outputs/tables/tableS_regeneration_contrasts.csv,key,str,parcel id or network name
outputs/tables/tableS_regeneration_contrasts.csv,contrast,str,
outputs/tables/tableS_regeneration_contrasts.csv,metric,str,TRIBE metric (gate-19 definitions)
outputs/tables/tableS_regeneration_contrasts.csv,primary,float64,
outputs/tables/tableS_regeneration_contrasts.csv,min,float64,
outputs/tables/tableS_regeneration_contrasts.csv,max,float64,
outputs/tables/tableS_regeneration_contrasts.csv,sd_regeneration,float64,
outputs/tables/tableS_regeneration_contrasts.csv,same_sign_all_9,bool,
outputs/tables/tableS_regeneration_contrasts.csv,claim_allowed,bool,
outputs/tables/tableS_semantic_coverage.csv,text,str,stimulus text (the TRIBE input)
outputs/tables/tableS_semantic_coverage.csv,variant,str,stimulus variant (one per unit and condition)
outputs/tables/tableS_semantic_coverage.csv,condition,str,"assigned arm (traditional, ai_scaffolding, ai_substitution, free_choice)"
outputs/tables/tableS_semantic_coverage.csv,mean,float64,"mean (over learners, or across draws in summary tables)"
outputs/tables/tableS_semantic_coverage.csv,min,float64,
outputs/tables/tableS_semantic_coverage.csv,n,int64,draws (or units) in the summary
outputs/tables/tableS_semantic_coverage.csv,n_below_threshold,int64,
outputs/tables/tableS_semantic_coverage.csv,threshold,float64,
outputs/tables/tableS_semantic_coverage_review.csv,stimulus_id,str,stimulus key (unit x condition)
outputs/tables/tableS_semantic_coverage_review.csv,unit_id,str,curriculum unit
outputs/tables/tableS_semantic_coverage_review.csv,condition,str,"assigned arm (traditional, ai_scaffolding, ai_substitution, free_choice)"
outputs/tables/tableS_semantic_coverage_review.csv,variant,str,stimulus variant (one per unit and condition)
outputs/tables/tableS_semantic_coverage_review.csv,text,str,stimulus text (the TRIBE input)
outputs/tables/tableS_semantic_coverage_review.csv,cosine,float64,
outputs/tables/tableS_sign_flip_null.csv,scenario,str,Phase V scenario (config phase5.scenarios); in frontier / mediation runs the cell or `base|hold_X` name
outputs/tables/tableS_sign_flip_null.csv,year,int64,school year (0 = before the first episode)
outputs/tables/tableS_sign_flip_null.csv,outcome,str,outcome name (see the outcome rows of this dictionary)
outputs/tables/tableS_sign_flip_null.csv,observed_sc,float64,
outputs/tables/tableS_sign_flip_null.csv,null_mean,float64,
outputs/tables/tableS_sign_flip_null.csv,null_sd,float64,
outputs/tables/tableS_sign_flip_null.csv,share_null_as_extreme,float64,
outputs/tables/tableS_sign_flip_null.csv,n_pairs,int64,
outputs/tables/tableS_tipping_points.csv,line,str,
outputs/tables/tableS_tipping_points.csv,year,int64,school year (0 = before the first episode)
outputs/tables/tableS_tipping_points.csv,outcome,str,outcome name (see the outcome rows of this dictionary)
outputs/tables/tableS_tipping_points.csv,mean,float64,"mean (over learners, or across draws in summary tables)"
outputs/tables/tableS_tipping_points.csv,median,float64,"median over learners, or across draws in summary tables"
outputs/tables/tableS_tipping_points.csv,n,int64,draws (or units) in the summary
outputs/tables/tableS_tipping_points.csv,lo90,float64,5th percentile across draws
outputs/tables/tableS_tipping_points.csv,hi90,float64,95th percentile across draws
outputs/tables/tableS_tipping_points.csv,lo95,float64,2.5th percentile across draws
outputs/tables/tableS_tipping_points.csv,hi95,float64,97.5th percentile across draws
outputs/tables/tableS_tipping_points.csv,share_no_sign_change,float64,
outputs/tables/tableS_tipping_points.csv,n_draws,int64,
outputs/tables/tableS_tipping_points_per_draw.csv,line,str,
outputs/tables/tableS_tipping_points_per_draw.csv,draw_id,int64,"parameter draw (-1 = the central draw, every leaf at medium)"
outputs/tables/tableS_tipping_points_per_draw.csv,tipping_point,float64,
outputs/tables/tableS_trajectory_model_v_main.csv,term,str,
outputs/tables/tableS_trajectory_model_v_main.csv,estimate,float64,mean over learners (level) or mean paired difference (contrast)
outputs/tables/tableS_trajectory_model_v_main.csv,se_cluster,float64,
outputs/tables/tableS_trajectory_model_v_main.csv,ci_low,float64,
outputs/tables/tableS_trajectory_model_v_main.csv,ci_high,float64,
outputs/tables/tableS_variance_decomposition.csv,outcome,str,outcome name (see the outcome rows of this dictionary)
outputs/tables/tableS_variance_decomposition.csv,year,int64,school year (0 = before the first episode)
outputs/tables/tableS_variance_decomposition.csv,component,str,
outputs/tables/tableS_variance_decomposition.csv,variance,float64,
outputs/tables/tableS_variance_decomposition.csv,share,float64,
outputs/tables/tableS_variance_decomposition.csv,n_scenarios,int64,
outputs/tables/tableS_variance_decomposition.csv,n_draws,int64,
outputs/tables/tableS_variance_decomposition.csv,n_learners,int64,
outputs/tables/tableS_variance_decomposition.csv,n_replicates,int64,
outputs/tables/tableS_z_controls.csv,scenario,str,Phase V scenario (config phase5.scenarios); in frontier / mediation runs the cell or `base|hold_X` name
outputs/tables/tableS_z_controls.csv,year,int64,school year (0 = before the first episode)
outputs/tables/tableS_z_controls.csv,network,str,Yeo-7 network of the Schaefer-400 parcels
outputs/tables/tableS_z_controls.csv,mechanism,str,"plasticity mechanism A, B, C or D (eq. 29-33)"
outputs/tables/tableS_z_controls.csv,main_contrast,float64,
outputs/tables/tableS_z_controls.csv,permuted_units_median_ratio,float64,
outputs/tables/tableS_z_controls.csv,permuted_units_share_as_large,float64,
outputs/tables/tableS_z_controls.csv,permuted_conditions_median_ratio,float64,
outputs/tables/tableS_z_controls.csv,permuted_conditions_share_as_large,float64,
outputs/tables/tableS_z_controls.csv,reading speed 180 wpm change ratio,float64,
outputs/tables/tableS_z_controls.csv,reading speed 260 wpm change ratio,float64,
outputs/tables/tableS_z_controls.csv,unwinsorised Z change ratio,float64,
outputs/tables/tribe_shuffle_controls.csv,control,str,
outputs/tables/tribe_shuffle_controls.csv,key,str,parcel id or network name
outputs/tables/tribe_shuffle_controls.csv,metric,str,TRIBE metric (gate-19 definitions)
outputs/tables/tribe_shuffle_controls.csv,abs_change,float64,
outputs/tables/tribe_shuffle_controls.csv,max_abs_condition_contrast,float64,
outputs/tables/tribe_shuffle_controls.csv,ratio_shuffle_to_contrast,float64,
simulation_draws (outcome values),G,,net advantage (eq. 39) = wK dK + wR dR + wM dM - wD dD
simulation_draws (outcome values),near_bound_share,,share of learners within 0.01 of a state bound
simulation_draws (outcome values),clips,,state updates clipped at a bound
simulation_draws (outcome values),support_gap,,supported - unaided accuracy
simulation_draws (outcome values),retention_below_share,,share with retention below end-of-year accuracy
simulation_draws (outcome values),difficulty_slope,,slope of expected accuracy on unit difficulty
simulation_draws (outcome values),share_traditional,,free choice: share of episodes on traditional
